@relation twitter4j

@attribute fqCaller string
@attribute fqCalls string

@data
'com.bourke.finch.BaseFinchActivity.onFailure','twitter4j.TwitterException.printStackTrace twitter4j.TwitterException.printStackTrace'
'edu.umd.cs.dmonner.tweater.BaseStatusEater.process','twitter4j.Status.getId twitter4j.Status.getId'
'com.bourke.finch.BaseTimelineFragment.refresh','twitter4j.Paging.<init> twitter4j.Paging.setCount twitter4j.Status.getId twitter4j.Paging.setSinceId twitter4j.Paging.getSinceId twitter4j.Paging.getMaxId twitter4j.Paging.getSinceId twitter4j.Paging.getMaxId'
'com.bourke.finch.BaseTimelineFragment.onSuccess','twitter4j.Paging.getMaxId twitter4j.ResponseList.remove twitter4j.ResponseList.size twitter4j.ResponseList.size twitter4j.Status.getId twitter4j.Paging.setMaxId twitter4j.Paging.getSinceId twitter4j.Paging.getMaxId twitter4j.ResponseList.size twitter4j.ResponseList.size twitter4j.ResponseList.size twitter4j.ResponseList.size twitter4j.ResponseList.size twitter4j.ResponseList.remove'
'com.bourke.finch.BaseTimelineFragment.onFailure','twitter4j.TwitterException.printStackTrace twitter4j.TwitterException.printStackTrace twitter4j.TwitterException.printStackTrace'
'com.bourke.finch.BaseTimelineFragment.loadNextPage','twitter4j.Paging.<init> twitter4j.Paging.setCount twitter4j.Status.getId twitter4j.Paging.setMaxId'
'org.mariotaku.twidere.loader.BaseUserListsLoader.loadInBackground','twitter4j.TwitterException.printStackTrace twitter4j.CursorSupport.getNextCursor twitter4j.CursorSupport.getPreviousCursor'
'h2weibo.controllers.CallbackServlet.doGet','twitter4j.TwitterFactory.<init> twitter4j.TwitterFactory.getInstance twitter4j.Twitter.getOAuthAccessToken twitter4j.Twitter.setOAuthAccessToken twitter4j.Twitter.verifyCredentials twitter4j.User.getScreenName twitter4j.Twitter.getUserTimeline twitter4j.ResponseList<twitter4j.Status>.size twitter4j.ResponseList<twitter4j.Status>.get twitter4j.Status.getId'
'io.beancounter.publisher.twitter.adapters.CommentPublisher.publish','twitter4j.Twitter.updateStatus'
'com.rhymestore.web.ContextListener.contextInitialized','twitter4j.TwitterFactory.<init> twitter4j.TwitterFactory.getInstance twitter4j.Twitter.getScreenName twitter4j.Twitter.getScreenName'
'com.rhymestore.web.ContextListener.contextDestroyed','twitter4j.Twitter.shutdown'
'jp.katahirado.android.tsubunomi.task.CreateFriendshipsTask.doInBackground','twitter4j.Twitter.createFriendship'
'org.apache.camel.component.twitter.consumer.directmessage.DirectMessageConsumer.pollConsume','twitter4j.Paging.<init> twitter4j.DirectMessage.getId'
'net.fortytwo.twitlogic.model.Entities.Entities','twitter4j.HashtagEntity.getText twitter4j.URLEntity.getURL'
'org.jboss.ejb3.examples.ch08.statusupdate.mdb.EnvironmentSpecificTwitterClientUtil.getTwitterClient','twitter4j.Twitter.<init>'
'de.jetwick.ese.search.Feeding.createReal','twitter4j.TwitterFactory.<init> twitter4j.TwitterFactory.getInstance twitter4j.Query.<init> twitter4j.Query.setRpp twitter4j.Twitter.search twitter4j.Tweet.getId twitter4j.Tweet.getFromUser twitter4j.Tweet.getText twitter4j.Tweet.getCreatedAt twitter4j.Tweet.getFromUserId'
'net.flighttweets.tweets.FetcherTask.populateRepliesQueue','twitter4j.Status.getInReplyToStatusId twitter4j.Status.getInReplyToScreenName twitter4j.Status.getInReplyToStatusId'
'net.flighttweets.tweets.FetcherTask.fetchUserTweets','twitter4j.TwitterFactory.<init> twitter4j.TwitterFactory.getInstance twitter4j.Paging.<init> twitter4j.Paging.maxId twitter4j.Paging.count twitter4j.Twitter.getUserTimeline'
'net.flighttweets.tweets.FetcherTask.getTweet','twitter4j.TwitterFactory.<init> twitter4j.TwitterFactory.getInstance twitter4j.Twitter.showStatus'
'net.flighttweets.tweets.FetcherTask.markReplyAsFetched','twitter4j.Status.getId'
'net.flighttweets.tweets.FetcherTask.updateFetchingStatus','twitter4j.Status.getCreatedAt twitter4j.Status.getId twitter4j.Status.getCreatedAt twitter4j.Status.getUser twitter4j.Status.getId twitter4j.Status.getCreatedAt twitter4j.Status.getUser twitter4j.Status.getId'
'net.flighttweets.tweets.FetcherTask.run','twitter4j.TwitterException.getStatusCode twitter4j.TwitterException.getStatusCode'
'net.davidrenz.twitter.parser.stream.filter.FilterStreamParser.filter','twitter4j.TwitterStreamFactory.<init> twitter4j.TwitterStreamFactory.getInstance twitter4j.TwitterStreamFactory.<init> twitter4j.TwitterStreamFactory.getInstance twitter4j.TwitterException.<init> twitter4j.FilterQuery.<init> twitter4j.TwitterStream.filter'
'com.bourke.finch.common.FinchTwitterFactory.FinchTwitterFactory','twitter4j.conf.ConfigurationBuilder.<init> twitter4j.conf.ConfigurationBuilder.setOAuthConsumerKey twitter4j.conf.ConfigurationBuilder.setOAuthConsumerSecret twitter4j.conf.ConfigurationBuilder.setUseSSL twitter4j.conf.ConfigurationBuilder.build twitter4j.TwitterFactory.<init> twitter4j.TwitterFactory.getInstance'
'edu.umd.cs.dmonner.tweater.finder.Finder.process','twitter4j.Status.getId twitter4j.Status.getId twitter4j.Status.getCreatedAt'
'edu.umd.cs.dmonner.tweater.finder.FinderWorker.lookupNext','twitter4j.Twitter.showStatus twitter4j.Status.getRateLimitStatus twitter4j.RateLimitStatus.getRemainingHits twitter4j.RateLimitStatus.getResetTime twitter4j.TwitterException.getRateLimitStatus twitter4j.RateLimitStatus.getRemainingHits twitter4j.RateLimitStatus.getResetTime twitter4j.TwitterException.getMessage twitter4j.TwitterException.getMessage twitter4j.TwitterException.getMessage'
'edu.umd.cs.dmonner.tweater.finder.FinderWorker.processNext','twitter4j.Status.getId twitter4j.Status.getId'
'com.nookdevs.twook.services.FollowedDownloaderService.getTweets','twitter4j.Twitter.getFriendsStatuses twitter4j.TwitterException.getMessage'
'org.example.osgi.mailbox.twitter.FriendsTimeline.activate','twitter4j.Twitter.<init>'
'org.example.osgi.mailbox.twitter.FriendsTimeline.getInitialTimeline','twitter4j.Twitter.getFriendsTimeline twitter4j.Status.getId'
'org.example.osgi.mailbox.twitter.FriendsTimeline.getTimelineSinceId','twitter4j.Twitter.getFriendsTimelineByPage twitter4j.Status.getId'
'org.bouil.twifip.GetAccessTokenSecret.main','twitter4j.TwitterFactory.<init> twitter4j.TwitterFactory.getInstance twitter4j.Twitter.getOAuthRequestToken twitter4j.auth.RequestToken.getAuthorizationURL twitter4j.Twitter.getOAuthAccessToken twitter4j.Twitter.getOAuthAccessToken twitter4j.TwitterException.getStatusCode twitter4j.TwitterException.printStackTrace twitter4j.Twitter.verifyCredentials twitter4j.Twitter.updateStatus twitter4j.Status.getText'
'org.bouil.twifip.GetAccessTokenSecret.storeAccessToken','twitter4j.auth.AccessToken.getToken twitter4j.auth.AccessToken.getTokenSecret'
'com.rhymestore.twitter.commands.GetMentionsCommandIT.setUp','twitter4j.TwitterFactory.<init> twitter4j.TwitterFactory.getInstance'
'com.rhymestore.twitter.commands.GetMentionsCommandIT.tearDown','twitter4j.Twitter.shutdown'
'jp.senchan.android.wasatter.next.task.GetTwitterOAuthAccessTokenTask.doInBackground','twitter4j.TwitterException.printStackTrace'
'org.apache.camel.component.twitter.consumer.timeline.HomeConsumer.pollConsume','twitter4j.Paging.<init> twitter4j.Status.getId'
'com.bourke.finch.HomeTimelineFragment.onSuccess','twitter4j.Status.getId'
'com.bourke.finch.HomeTimelineFragment.onFailure','twitter4j.TwitterException.printStackTrace'
'com.bourke.finch.HomeTimelineFragment.ActionModeTweet.onActionItemClicked','twitter4j.Status.getId'
'org.mariotaku.twidere.loader.IDsUsersLoader.getIDsArray','twitter4j.IDs.getIDs'
'org.mariotaku.twidere.loader.IDsUsersLoader.getUsers','twitter4j.IDs.getIDs twitter4j.Twitter.lookupUsers twitter4j.IDs.getIDs twitter4j.User.getId'
'com.intec.porksaver.social.ImplTwitter.ImplTwitter','twitter4j.TwitterFactory.<init> twitter4j.TwitterFactory.getInstance twitter4j.Twitter.setOAuthConsumer'
'com.intec.porksaver.social.ImplTwitter.postiarTweet','twitter4j.Twitter.updateStatus twitter4j.TwitterException.getMessage twitter4j.TwitterException.printStackTrace'
'com.intec.porksaver.social.ImplTwitter.loginNewUser','twitter4j.Twitter.getOAuthRequestToken twitter4j.auth.RequestToken.getAuthenticationURL'
'com.intec.porksaver.social.ImplTwitter.loginAuthorisedUser','twitter4j.auth.AccessToken.<init> twitter4j.Twitter.setOAuthAccessToken'
'org.hornetq.integration.twitter.impl.IncomingTweetsHandler.start','twitter4j.Paging.<init> twitter4j.TwitterFactory.<init> twitter4j.http.AccessToken.<init> twitter4j.TwitterFactory.getOAuthAuthorizedInstance twitter4j.Twitter.verifyCredentials twitter4j.Paging.setCount twitter4j.Twitter.getHomeTimeline twitter4j.ResponseList.get twitter4j.Status.getId twitter4j.Paging.setSinceId twitter4j.Paging.getSinceId twitter4j.Paging.setCount'
'org.hornetq.integration.twitter.impl.IncomingTweetsHandler.poll','twitter4j.Twitter.getHomeTimeline twitter4j.ResponseList.size twitter4j.ResponseList.size twitter4j.ResponseList.get twitter4j.Status.toString twitter4j.ResponseList.get twitter4j.Status.getId twitter4j.Paging.setSinceId twitter4j.Paging.getSinceId'
'org.hornetq.integration.twitter.impl.IncomingTweetsHandler.putTweetIntoMessage','twitter4j.Status.getText twitter4j.Status.getId twitter4j.Status.getSource twitter4j.Status.getCreatedAt twitter4j.Status.isTruncated twitter4j.Status.getInReplyToStatusId twitter4j.Status.getInReplyToUserId twitter4j.Status.isFavorited twitter4j.Status.isRetweet twitter4j.Status.getContributors twitter4j.Status.getGeoLocation twitter4j.GeoLocation.getLatitude twitter4j.GeoLocation.getLongitude twitter4j.Status.getPlace twitter4j.Place.getId'
'twickery.web.page.IndexPageScoper.apply','twitter4j.auth.AccessToken.<init> twitter4j.Twitter.setOAuthAccessToken twitter4j.Twitter.verifyCredentials'
'de.jetwick.data.JTweet.JTweet','twitter4j.Tweet.getId twitter4j.Tweet.getText twitter4j.Tweet.getCreatedAt twitter4j.Tweet.getGeoLocation twitter4j.Tweet.getGeoLocation twitter4j.Tweet.getGeoLocation twitter4j.Tweet.getLocation'
'de.jetwick.data.JUser.JUser','twitter4j.User.getScreenName'
'de.jetwick.data.JUser.updateFieldsBy','twitter4j.User.getId twitter4j.User.isProtected twitter4j.User.getCreatedAt twitter4j.User.getDescription twitter4j.User.getLang twitter4j.User.getLocation twitter4j.User.getName twitter4j.User.getProfileImageURL twitter4j.User.getProfileImageURL twitter4j.User.getURL twitter4j.User.getURL twitter4j.User.getFollowersCount twitter4j.User.getFriendsCount twitter4j.User.getStatus'
'de.jetwick.data.JUser.init','twitter4j.Tweet.getProfileImageUrl twitter4j.Tweet.getLocation'
'de.jetwick.bot.Jetwot.start','twitter4j.TwitterException.exceededRateLimitation twitter4j.TwitterException.getRateLimitStatus twitter4j.TwitterException.getRateLimitStatus'
'com.bourke.finch.lazylist.LazyAdapter.onClick','twitter4j.Status.getUser'
'com.bourke.finch.lazylist.LazyAdapter.showStatusView','twitter4j.Status.getText twitter4j.Status.getId twitter4j.Status.isFavorited twitter4j.Status.getCreatedAt twitter4j.Status.getUser'
'com.bourke.finch.lazylist.LazyAdapter.showUserView','twitter4j.User.getStatus twitter4j.User.getStatus twitter4j.User.getStatus twitter4j.User.getStatus twitter4j.User.getScreenName'
'com.bourke.finch.lazylist.LazyAdapter.showFavStatus','twitter4j.Status.getId'
'com.oreilly.android.otweet.tasks.LoadMoreAsyncTask.doInBackground','twitter4j.Paging.<init> twitter4j.Paging.sinceId twitter4j.Twitter.getHomeTimeline twitter4j.Paging.<init> twitter4j.Paging.maxId twitter4j.Twitter.getHomeTimeline'
'com.oreilly.android.otweet.tasks.LoadMoreAsyncTask.doInBackground','twitter4j.Paging.<init> twitter4j.Paging.sinceId twitter4j.Twitter.getHomeTimeline twitter4j.Paging.<init> twitter4j.Paging.maxId twitter4j.Twitter.getHomeTimeline'
'info.mahmoudhossam.twitter.Login.saveToken','twitter4j.auth.AccessToken.getToken twitter4j.auth.AccessToken.getTokenSecret'
'info.mahmoudhossam.twitter.Login.getToken','twitter4j.auth.AccessToken.<init>'
'com.gsbina.android.adot4j4a.Login.FromWebView.onStart','twitter4j.TwitterFactory.<init> twitter4j.TwitterFactory.getInstance twitter4j.Twitter.setOAuthConsumer'
'com.gsbina.android.adot4j4a.Login.FromWebView.PreTask.doInBackground','twitter4j.Twitter.getOAuthRequestToken twitter4j.auth.RequestToken.getAuthorizationURL twitter4j.TwitterException.printStackTrace'
'com.gsbina.android.adot4j4a.Login.FromWebView.PostTask.doInBackground','twitter4j.Twitter.getOAuthAccessToken twitter4j.TwitterException.printStackTrace'
'com.gsbina.android.adot4j4a.Login.FromWebView.PostTask.onPostExecute','twitter4j.auth.AccessToken.getScreenName'
'org.jvnet.hudson.plugins.twitter.Main.main','twitter4j.TwitterFactory.<init> twitter4j.TwitterFactory.getInstance twitter4j.Twitter.setOAuthConsumer twitter4j.Twitter.getOAuthRequestToken twitter4j.http.RequestToken.getAuthorizationURL twitter4j.Twitter.getOAuthAccessToken twitter4j.Twitter.getOAuthAccessToken twitter4j.TwitterException.getStatusCode twitter4j.TwitterException.printStackTrace twitter4j.Twitter.verifyCredentials'
'org.jvnet.hudson.plugins.twitter.Main.storeAccessToken','twitter4j.http.AccessToken.getToken twitter4j.http.AccessToken.getTokenSecret'
'edu.umd.cs.dmonner.tweater.MatchableStatus.MatchableStatus','twitter4j.Status.getText'
'com.lorenzobraghetto.speakbird.View.MentionsAdapter.getView','twitter4j.Status.getCreatedAt twitter4j.Status.getUser twitter4j.Status.getUser twitter4j.Status.getText twitter4j.DirectMessage.getCreatedAt twitter4j.DirectMessage.getSender twitter4j.DirectMessage.getSender twitter4j.DirectMessage.getText'
'com.lorenzobraghetto.speakbird.View.Messages.messagesUpdate.doInBackground','twitter4j.Paging.<init> twitter4j.Paging.count twitter4j.ResponseList<twitter4j.DirectMessage>.size twitter4j.ResponseList<twitter4j.DirectMessage>.get twitter4j.Paging.maxId twitter4j.TwitterException.printStackTrace twitter4j.ResponseList<com.lorenzobraghetto.speakbird.View.twitter4j.DirectMessage>.size twitter4j.ResponseList<com.lorenzobraghetto.speakbird.View.twitter4j.DirectMessage>.get twitter4j.ResponseList<twitter4j.DirectMessage>.add twitter4j.ResponseList<com.lorenzobraghetto.speakbird.View.twitter4j.DirectMessage>.get'
'com.lorenzobraghetto.speakbird.View.Messages.messagesProgress.doInBackground','twitter4j.Paging.<init> twitter4j.Paging.count twitter4j.TwitterException.printStackTrace twitter4j.ResponseList<twitter4j.DirectMessage>.size twitter4j.ResponseList<twitter4j.DirectMessage>.size twitter4j.ResponseList<twitter4j.DirectMessage>.get twitter4j.ResponseList<twitter4j.DirectMessage>.get'
'com.lorenzobraghetto.speakbird.View.Messages.messagesProgress.onPostExecute','twitter4j.ResponseList<twitter4j.DirectMessage>.get twitter4j.ResponseList<twitter4j.DirectMessage>.get twitter4j.ResponseList<twitter4j.DirectMessage>.size'
'com.lorenzobraghetto.speakbird.View.Messages.reDrawList','twitter4j.ResponseList<twitter4j.DirectMessage>.size twitter4j.ResponseList<twitter4j.DirectMessage>.get twitter4j.ResponseList<twitter4j.DirectMessage>.get'
'com.lorenzobraghetto.speakbird.View.Messages.onInit','twitter4j.ResponseList<twitter4j.DirectMessage>.get twitter4j.ResponseList<twitter4j.DirectMessage>.get'
'com.lorenzobraghetto.speakbird.View.Messages.onUtteranceCompleted','twitter4j.ResponseList<twitter4j.DirectMessage>.get twitter4j.ResponseList<twitter4j.DirectMessage>.get'
'org.opennms.netmgt.notifd.MicroblogNotificationStrategy.send','twitter4j.Twitter.getUserId twitter4j.Twitter.getBaseURL twitter4j.Twitter.updateStatus twitter4j.Twitter.getUserId twitter4j.Twitter.getBaseURL twitter4j.TwitterException.getMessage twitter4j.Status.getId'
'org.opennms.netmgt.notifd.MicroblogNotificationStrategy.buildUblogService','twitter4j.Twitter.<init> twitter4j.Twitter.setBaseURL twitter4j.Twitter.setSource twitter4j.Twitter.setUserId twitter4j.Twitter.setPassword'
'org.opennms.netmgt.notifd.MicroblogReplyNotificationStrategy.send','twitter4j.Twitter.getUserId twitter4j.Twitter.getBaseURL twitter4j.Twitter.updateStatus twitter4j.Twitter.getUserId twitter4j.Twitter.getBaseURL twitter4j.TwitterException.getMessage twitter4j.Status.getId'
