@relation wicket

@attribute fqCaller string
@attribute fqCalls string

@data
'almira.sample.web.AbstractBasePage.AbstractBasePage','org.apache.wicket.model.ResourceModel.<init> org.apache.wicket.markup.html.basic.Label.<init> org.apache.wicket.markup.html.link.BookmarkablePageLink<java.lang.Void>.<init> org.apache.wicket.markup.html.link.BookmarkablePageLink<java.lang.Void>.<init> org.apache.wicket.markup.html.basic.Label.<init> org.apache.wicket.model.PropertyModel<java.lang.String>.<init> org.apache.wicket.markup.html.basic.Label.<init> org.apache.wicket.markup.html.basic.Label.<init> org.apache.wicket.model.Model<java.lang.String>.<init> org.apache.wicket.markup.html.basic.Label.<init>'
'de.wicketpraxis.web.thema.howto.basepage.AbstractBasePage.AbstractBasePage','org.apache.wicket.model.LoadableDetachableModel<de.wicketpraxis.web.thema.howto.basepage.nav.NavCallbackInterface>.<init> org.apache.wicket.markup.html.WebMarkupContainer.<init>'
'de.wicketpraxis.web.thema.howto.basepage.AbstractBasePage.renderHead','org.apache.wicket.request.resource.PackageResourceReference.<init> org.apache.wicket.markup.head.CssReferenceHeaderItem.forReference org.apache.wicket.markup.head.IHeaderResponse.render'
'de.wicketpraxis.web.pages.AbstractBasePage.AbstractBasePage','org.apache.wicket.model.Model.of org.apache.wicket.model.Model.of org.apache.wicket.markup.html.basic.Label.<init> org.apache.wicket.markup.html.basic.Label.<init>'
'de.wicketpraxis.web.pages.AbstractBasePage.renderHead','org.apache.wicket.request.resource.PackageResourceReference.<init> org.apache.wicket.markup.head.CssReferenceHeaderItem.forReference org.apache.wicket.markup.head.IHeaderResponse.render'
'de.wicketpraxis.apps.example.pages.AbstractBasePage.renderHead','org.apache.wicket.markup.html.IHeaderContributor.renderHead'
'de.wicketpraxis.web.thema.komponenten.vererbung.extension2.AbstractBasePanel.AbstractBasePanel','org.apache.wicket.markup.html.basic.Label.<init>'
'de.wicketpraxis.web.blog.pages.questions.transparent.AbstractBasePanel.AbstractBasePanel','org.apache.wicket.markup.html.WebMarkupContainer.<init> org.apache.wicket.markup.html.WebMarkupContainer.setOutputMarkupPlaceholderTag'
'de.wicketpraxis.web.blog.pages.questions.transparent.AbstractBasePanel.hide','org.apache.wicket.markup.html.WebMarkupContainer.setVisible org.apache.wicket.ajax.AjaxRequestTarget.add'
'de.wicketpraxis.web.blog.pages.questions.transparent.AbstractBasePanel.show','org.apache.wicket.markup.html.WebMarkupContainer.setVisible org.apache.wicket.ajax.AjaxRequestTarget.add'
'almira.sample.web.model.AbstractCachingDataProvider.model','org.apache.wicket.model.LoadableDetachableModel<almira.sample.web.model.T>.<init>'
'org.openengsb.opencit.ui.web.AbstractCitPageTest.setup','org.apache.wicket.protocol.http.WebApplication.<init> org.apache.wicket.util.tester.WicketTester.<init>'
'org.wicketstuff.mergedresources.versioning.AbstractClasspathResourceVersionProvider.getResourcePath','org.apache.wicket.util.string.Strings.beforeLast'
'com.lyndir.lhunath.opal.wayward.state.AbstractComponentActivator.isActive','org.apache.wicket.RequestCycle.get org.apache.wicket.Page.contains org.apache.wicket.Component.isVisibleInHierarchy'
'org.geoserver.web.data.store.aggregate.AbstractConfigPage.initUI','org.apache.wicket.model.Model<org.geotools.data.aggregate.AggregateTypeConfiguration>.<init> org.apache.wicket.model.CompoundPropertyModel.<init> org.apache.wicket.markup.html.form.Form<org.geotools.data.aggregate.AggregateTypeConfiguration>.<init> org.apache.wicket.markup.html.form.TextField.<init> org.apache.wicket.markup.html.form.TextField.setOutputMarkupId org.apache.wicket.markup.html.form.TextField.setRequired org.apache.wicket.markup.html.form.Form<org.geotools.data.aggregate.AggregateTypeConfiguration>.add org.apache.wicket.markup.html.WebMarkupContainer.<init> org.apache.wicket.markup.html.WebMarkupContainer.setOutputMarkupId org.apache.wicket.markup.html.form.Form<org.geotools.data.aggregate.AggregateTypeConfiguration>.add org.apache.wicket.model.Model.<init> org.apache.wicket.markup.html.form.DropDownChoice<org.geoserver.catalog.StoreInfo>.<init> org.apache.wicket.ajax.form.AjaxFormComponentUpdatingBehavior.<init> org.apache.wicket.markup.html.form.DropDownChoice<org.geoserver.catalog.StoreInfo>.add org.apache.wicket.markup.html.WebMarkupContainer.add org.apache.wicket.model.Model.<init> org.apache.wicket.markup.html.form.DropDownChoice<org.geoserver.catalog.StoreInfo>.getModel org.apache.wicket.markup.html.form.DropDownChoice<java.lang.String>.<init> org.apache.wicket.markup.html.form.DropDownChoice<java.lang.String>.setOutputMarkupId org.apache.wicket.markup.html.WebMarkupContainer.add org.apache.wicket.ajax.form.AjaxFormComponentUpdatingBehavior.<init> org.apache.wicket.markup.html.form.DropDownChoice<java.lang.String>.add org.apache.wicket.Component.setOutputMarkupId org.apache.wicket.Component.setEnabled org.apache.wicket.markup.html.WebMarkupContainer.add org.apache.wicket.markup.html.WebMarkupContainer.add org.apache.wicket.markup.html.form.Form<org.geotools.data.aggregate.AggregateTypeConfiguration>.add org.apache.wicket.markup.html.form.Form<org.geotools.data.aggregate.AggregateTypeConfiguration>.add'
'org.geoserver.web.data.store.aggregate.AbstractConfigPage.onUpdate','org.apache.wicket.markup.html.form.DropDownChoice<org.geoserver.catalog.StoreInfo>.getModel org.apache.wicket.markup.html.form.DropDownChoice<java.lang.String>.setChoices org.apache.wicket.Component.setEnabled org.apache.wicket.ajax.AjaxRequestTarget.addComponent org.apache.wicket.ajax.AjaxRequestTarget.addComponent org.apache.wicket.markup.html.form.DropDownChoice<org.geoserver.catalog.StoreInfo>.getModelObject org.apache.wicket.markup.html.form.DropDownChoice<java.lang.String>.getModelObject org.apache.wicket.Component.setEnabled org.apache.wicket.ajax.AjaxRequestTarget.addComponent'
'org.geoserver.web.data.store.aggregate.AbstractConfigPage.getComponentForProperty','org.apache.wicket.markup.html.basic.Label.<init>'
