@relation cloud9

@attribute fqCaller string
@attribute fqCalls string

@data
'ivory.ptc.judgments.weighting.Anchor.getWeight','edu.umd.cloud9.webgraph.data.AnchorText.getWeight'
'ivory.ptc.AnchorTextInvertedIndex.MyMapper.map','edu.umd.cloud9.webgraph.data.AnchorText.isExternalInLink edu.umd.cloud9.webgraph.data.AnchorText.isInternalInLink edu.umd.cloud9.webgraph.data.AnchorText.getText edu.umd.cloud9.webgraph.data.AnchorText.getDocuments edu.umd.cloud9.io.array.ArrayListOfIntsWritable.<init>'
'ivory.ptc.AnchorTextInvertedIndex.MyReducer.reduce','edu.umd.cloud9.io.array.ArrayListWritable<ivory.ptc.data.AnchorTextTarget>.clear edu.umd.cloud9.io.array.ArrayListWritable<ivory.ptc.data.AnchorTextTarget>.add'
'ivory.ptc.data.AnchorTextTarget.AnchorTextTarget','edu.umd.cloud9.io.array.ArrayListOfIntsWritable.<init>'
'ivory.ptc.data.AnchorTextTarget.readFields','edu.umd.cloud9.io.array.ArrayListOfIntsWritable.clear edu.umd.cloud9.io.array.ArrayListOfIntsWritable.readFields'
'ivory.ptc.data.AnchorTextTarget.write','edu.umd.cloud9.io.array.ArrayListOfIntsWritable.write'
'ivory.ptc.data.AnchorTextTarget.addSources','edu.umd.cloud9.io.array.ArrayListOfIntsWritable.add'
'ivory.ptc.data.AnchorTextTarget.iterator','edu.umd.cloud9.io.array.ArrayListOfIntsWritable.iterator'
'ivory.core.util.AnnotateClueRunAllWithURLs.MyMapper.run','edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.<init> edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.loadIndex edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.<init> edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.loadIndex edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.<init> edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.loadIndex edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.<init> edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.loadIndex edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.<init> edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.loadIndex edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.<init> edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.loadIndex edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.<init> edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.loadIndex edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.<init> edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.loadIndex edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.<init> edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.loadIndex edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.<init> edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.loadIndex edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.getDocument edu.umd.cloud9.collection.clue.ClueWarcRecord.getHeaderMetadataItem'
'ivory.core.util.AnnotateClueRunWithURLs.MyMapper.run','edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.<init> edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.loadIndex edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.getDocument'
'com.twitter.corpus.download.AsyncHtmlStatusBlockCrawler.TweetFetcherHandler.onCompleted','edu.umd.cloud9.io.pair.PairOfLongString.<init>'
'ivory.smrf.retrieval.BatchQueryRunner.printResults','edu.umd.cloud9.collection.DocnoMapping.getDocid'
'ivory.lsh.eval.BruteForcePwsim.MyMapperDocVectors.configure','edu.umd.cloud9.io.SequenceFileUtils.readFile'
'ivory.lsh.eval.BruteForcePwsim.MyMapperDocVectors.map','edu.umd.cloud9.io.pair.PairOfFloatInt.<init>'
'ivory.lsh.eval.BruteForcePwsim.MyMapperTermDocVectors.configure','edu.umd.cloud9.io.SequenceFileUtils.readFile'
'ivory.lsh.eval.BruteForcePwsim.MyMapperTermDocVectors.map','edu.umd.cloud9.io.map.HMapSFW.length edu.umd.cloud9.io.map.HMapSFW.length edu.umd.cloud9.io.pair.PairOfFloatInt.<init>'
'ivory.lsh.eval.BruteForcePwsim.MyMapperSignature.configure','edu.umd.cloud9.io.SequenceFileUtils.readFile'
'ivory.lsh.eval.BruteForcePwsim.MyMapperSignature.map','edu.umd.cloud9.io.pair.PairOfFloatInt.<init>'
'ivory.lsh.eval.BruteForcePwsim.MyReducer.reduce','edu.umd.cloud9.io.pair.PairOfFloatInt.getLeftElement edu.umd.cloud9.io.pair.PairOfFloatInt.getRightElement edu.umd.cloud9.io.pair.PairOfFloatInt.<init> edu.umd.cloud9.io.pair.PairOfFloatInt.getRightElement edu.umd.cloud9.io.pair.PairOfInts.set edu.umd.cloud9.io.pair.PairOfFloatInt.getLeftElement'
'ivory.core.preprocess.BuildDictionary.MyReducer.reduce','edu.umd.cloud9.io.pair.PairOfIntLong.getLeftElement edu.umd.cloud9.io.pair.PairOfIntLong.getRightElement'
'ivory.core.index.BuildIPInvertedIndexDocSorted.MyMapper.setup','edu.umd.cloud9.util.map.HMapII.clear'
'ivory.core.index.BuildIPInvertedIndexDocSorted.MyMapper.map','edu.umd.cloud9.io.pair.PairOfInts.set edu.umd.cloud9.util.map.HMapII.increment'
'ivory.core.index.BuildIPInvertedIndexDocSorted.MyMapper.cleanup','edu.umd.cloud9.util.map.HMapII.entrySet edu.umd.cloud9.io.pair.PairOfInts.set'
