@relation neo4j

@attribute fqCaller string
@attribute fqCalls string

@data
'slavetest.AbstractHaTest.verifyProperties','org.neo4j.graphdb.PropertyContainer.getPropertyKeys org.neo4j.helpers.collection.IteratorUtil.addToCollection org.neo4j.graphdb.PropertyContainer.getPropertyKeys org.neo4j.graphdb.PropertyContainer.getProperty org.neo4j.graphdb.PropertyContainer.getProperty'
'slavetest.AbstractHaTest.initializeDbs','org.neo4j.helpers.collection.MapUtil.stringMap'
'slavetest.AbstractHaTest.shutdownMasterBeforeFinishingTx','org.neo4j.helpers.collection.MapUtil.stringMap'
'slavetest.AbstractHaTest.indexingIsSynchronizedBetweenInstances','org.neo4j.helpers.collection.MapUtil.map'
'slavetest.AbstractHaTest.makeSureSlaveCanCopyLargeInitialDatabase','org.neo4j.helpers.collection.MapUtil.stringMap org.neo4j.helpers.collection.MapUtil.stringMap'
'slavetest.AbstractHaTest.canCopyInitialDbWithLuceneIndexes','org.neo4j.helpers.collection.MapUtil.stringMap org.neo4j.helpers.collection.MapUtil.stringMap org.neo4j.kernel.EmbeddedGraphDatabase.<init> org.neo4j.kernel.EmbeddedGraphDatabase.getXaDataSourceManager org.neo4j.kernel.impl.transaction.xaframework.XaDataSource.getLastCommittedTxId org.neo4j.kernel.impl.transaction.xaframework.XaDataSource.getXaContainer org.neo4j.kernel.impl.transaction.xaframework.InMemoryLogBuffer.<init> org.neo4j.kernel.impl.transaction.xaframework.LogExtractor.extractNext org.neo4j.kernel.impl.transaction.xaframework.LogExtractor.close org.neo4j.kernel.EmbeddedGraphDatabase.shutdown org.neo4j.helpers.collection.MapUtil.stringMap'
'slavetest.AbstractHaTest.makeSurePullIntervalWorks','org.neo4j.helpers.collection.MapUtil.stringMap org.neo4j.helpers.collection.MapUtil.stringMap'
'slavetest.AbstractHaTest.wrapBrokerAndSetPlaceHolderDb','org.neo4j.kernel.ha.BrokerFactory.<init>'
'slavetest.AbstractHaTest.verify','org.neo4j.graphdb.GraphDatabaseService.getAllNodes org.neo4j.helpers.collection.IteratorUtil.addToCollection org.neo4j.graphdb.GraphDatabaseService.getAllNodes org.neo4j.graphdb.Node.getId org.neo4j.graphdb.GraphDatabaseService.getNodeById'
'slavetest.AbstractHaTest.verifyNode','org.neo4j.graphdb.Node.getRelationships org.neo4j.graphdb.Relationship.getId org.neo4j.graphdb.Node.getRelationships org.neo4j.graphdb.Relationship.getId org.neo4j.graphdb.GraphDatabaseService.getRelationshipById org.neo4j.graphdb.Relationship.getStartNode org.neo4j.graphdb.Relationship.getStartNode org.neo4j.graphdb.Relationship.getEndNode org.neo4j.graphdb.Relationship.getEndNode org.neo4j.graphdb.Relationship.getType org.neo4j.graphdb.Relationship.getType org.neo4j.graphdb.Relationship.getId'
'slavetest.AbstractHaTest.verifyIndexProvider','org.neo4j.graphdb.Node.getPropertyKeys org.neo4j.graphdb.Node.getPropertyKeys'
'slavetest.AbstractHaTest.isIndexedWithIndexProvider','org.neo4j.graphdb.GraphDatabaseService.index org.neo4j.graphdb.Node.getProperty'
'slavetest.AbstractHaTest.verifyProperties','org.neo4j.graphdb.PropertyContainer.getPropertyKeys org.neo4j.helpers.collection.IteratorUtil.addToCollection org.neo4j.graphdb.PropertyContainer.getPropertyKeys org.neo4j.graphdb.PropertyContainer.getProperty org.neo4j.graphdb.PropertyContainer.getProperty'
'slavetest.AbstractHaTest.initializeDbs','org.neo4j.helpers.collection.MapUtil.stringMap'
'slavetest.AbstractHaTest.testMasterFailure','org.neo4j.helpers.collection.MapUtil.stringMap'
'slavetest.AbstractHaTest.indexingAndTwoSlaves','org.neo4j.helpers.collection.MapUtil.map'
'slavetest.AbstractHaTest.makeSureSlaveCanCopyLargeInitialDatabase','org.neo4j.helpers.collection.MapUtil.stringMap org.neo4j.helpers.collection.MapUtil.stringMap'
'slavetest.AbstractHaTest.canCopyInitialDbWithLuceneIndexes','org.neo4j.helpers.collection.MapUtil.stringMap org.neo4j.helpers.collection.MapUtil.stringMap'
'org.animotron.graph.index.AbstractIndex.get','org.neo4j.graphdb.index.IndexHits<org.animotron.graph.index.T>.next org.neo4j.graphdb.index.IndexHits<org.animotron.graph.index.T>.close'
'org.animotron.graph.index.AbstractIndex.getHits','org.neo4j.graphdb.index.Index<org.animotron.graph.index.T>.get'
'org.animotron.graph.index.AbstractIndex.add','org.neo4j.graphdb.index.Index<org.animotron.graph.index.T>.add'
'org.animotron.graph.index.AbstractIndex.remove','org.neo4j.graphdb.index.Index<org.animotron.graph.index.T>.remove org.neo4j.graphdb.index.Index<org.animotron.graph.index.T>.remove'
'org.springframework.data.neo4j.support.typerepresentation.AbstractIndexingTypeRepresentationStrategy.count','org.neo4j.graphdb.index.IndexHits<org.springframework.data.neo4j.support.typerepresentation.S>.hasNext org.neo4j.graphdb.index.IndexHits<org.springframework.data.neo4j.support.typerepresentation.S>.next'
'org.springframework.data.neo4j.support.typerepresentation.AbstractIndexingTypeRepresentationStrategy.get','org.neo4j.graphdb.index.Index<org.springframework.data.neo4j.support.typerepresentation.S>.get org.neo4j.graphdb.index.Index<org.springframework.data.neo4j.support.typerepresentation.S>.get'
'org.springframework.data.neo4j.support.typerepresentation.AbstractIndexingTypeRepresentationStrategy.remove','org.neo4j.graphdb.index.Index<org.springframework.data.neo4j.support.typerepresentation.S>.remove org.neo4j.graphdb.index.Index<org.springframework.data.neo4j.support.typerepresentation.S>.remove'
'org.springframework.data.neo4j.support.typerepresentation.AbstractIndexingTypeRepresentationStrategy.add','org.neo4j.graphdb.index.Index<org.springframework.data.neo4j.support.typerepresentation.S>.add org.neo4j.graphdb.index.Index<org.springframework.data.neo4j.support.typerepresentation.S>.add'
'ac.memory.persistence.neo4j.AbstractLatticeContextNode.getRelatedObjects','org.neo4j.kernel.Traversal.description org.neo4j.graphdb.traversal.TraversalDescription.traverse'
'ac.memory.persistence.neo4j.AbstractLatticeContextNode.removeRelatedObject','org.neo4j.graphdb.Relationship.delete org.neo4j.graphdb.Transaction.success org.neo4j.graphdb.Transaction.finish'
'ac.memory.persistence.neo4j.AbstractLatticeContextNode.isRelatedWith','org.neo4j.graphdb.Relationship.getEndNode'
'org.structr.core.traversal.AbstractNodeCollector.getTraversalDescription','org.neo4j.kernel.Traversal.description org.neo4j.graphdb.traversal.Evaluators.excludeStartPosition org.neo4j.graphdb.traversal.Evaluator.<init> org.neo4j.graphdb.traversal.TraversalDescription.relationships'
'org.structr.core.traversal.AbstractNodeCollector.evaluate','org.neo4j.graphdb.Path.length org.neo4j.graphdb.Path.endNode'
'nl.pieni.maven.dependency_analyzer.neo4j.node.AbstractNodeDecorator.getId','org.neo4j.graphdb.Node.getId'
'nl.pieni.maven.dependency_analyzer.neo4j.node.AbstractNodeDecorator.delete','org.neo4j.graphdb.Node.delete'
'nl.pieni.maven.dependency_analyzer.neo4j.node.AbstractNodeDecorator.getRelationships','org.neo4j.graphdb.Node.getRelationships org.neo4j.graphdb.Node.getRelationships org.neo4j.graphdb.Node.getRelationships org.neo4j.graphdb.Node.getRelationships'
'nl.pieni.maven.dependency_analyzer.neo4j.node.AbstractNodeDecorator.hasRelationship','org.neo4j.graphdb.Node.hasRelationship org.neo4j.graphdb.Node.hasRelationship org.neo4j.graphdb.Node.hasRelationship org.neo4j.graphdb.Node.hasRelationship'
