@relation hornetq

@attribute fqCaller string
@attribute fqCalls string

@data
'org.jbpm.task.service.hornetq.BaseHornetQTaskServer.start','org.hornetq.core.config.impl.ConfigurationImpl.<init> org.hornetq.core.config.Configuration.setPersistenceEnabled org.hornetq.core.config.Configuration.setSecurityEnabled org.hornetq.core.config.Configuration.setClustered org.hornetq.core.remoting.impl.netty.NettyAcceptorFactory.getName org.hornetq.api.core.TransportConfiguration.<init> org.hornetq.core.config.Configuration.setAcceptorConfigurations org.hornetq.core.server.HornetQServers.newHornetQServer org.hornetq.core.server.HornetQServer.start org.hornetq.core.remoting.impl.netty.NettyConnectorFactory.getCanonicalName org.hornetq.api.core.TransportConfiguration.<init> org.hornetq.api.core.client.HornetQClient.createServerLocatorWithoutHA org.hornetq.api.core.client.ServerLocator.createSessionFactory org.hornetq.api.core.client.ClientSessionFactory.createSession org.hornetq.api.core.client.ClientSession.createQueue org.hornetq.api.core.HornetQException.getCode org.hornetq.api.core.HornetQException.getMessage org.hornetq.api.core.client.ClientSession.createConsumer org.hornetq.api.core.client.ClientSession.start'
'org.jbpm.task.service.hornetq.BaseHornetQTaskServer.stop','org.hornetq.core.server.HornetQServer.stop org.hornetq.api.core.client.ServerLocator.close'
'org.jbpm.task.service.hornetq.BaseHornetQTaskServer.closeAll','org.hornetq.api.core.client.ClientSession.isClosed org.hornetq.api.core.client.ClientSession.close org.hornetq.api.core.client.ClientConsumer.isClosed org.hornetq.api.core.client.ClientConsumer.close'
'com.test.jms.BaseJMSHumanTaskTest.startHornet','org.hornetq.core.config.impl.ConfigurationImpl.<init> org.hornetq.core.config.Configuration.setPersistenceEnabled org.hornetq.core.config.Configuration.setSecurityEnabled org.hornetq.core.remoting.impl.netty.NettyConnectorFactory.getName org.hornetq.api.core.TransportConfiguration.<init> org.hornetq.core.config.Configuration.getAcceptorConfigurations org.hornetq.core.remoting.impl.netty.NettyAcceptorFactory.getName org.hornetq.api.core.TransportConfiguration.<init> org.hornetq.core.server.HornetQServers.newHornetQServer org.hornetq.jms.server.config.impl.JMSConfigurationImpl.<init> org.hornetq.jms.server.config.JMSConfiguration.setContext org.hornetq.core.config.Configuration.getConnectorConfigurations org.hornetq.jms.server.config.impl.ConnectionFactoryConfigurationImpl.<init> org.hornetq.jms.server.config.JMSConfiguration.getConnectionFactoryConfigurations org.hornetq.jms.server.config.impl.JMSQueueConfigurationImpl.<init> org.hornetq.jms.server.config.impl.JMSQueueConfigurationImpl.<init> org.hornetq.jms.server.config.JMSConfiguration.getQueueConfigurations org.hornetq.jms.server.config.JMSConfiguration.getQueueConfigurations org.hornetq.jms.server.impl.JMSServerManagerImpl.<init> org.hornetq.jms.server.JMSServerManager.start'
'org.projectodd.polyglot.messaging.BaseMessageProcessorGroup.run','org.hornetq.jms.client.HornetQConnectionFactory.createXAConnection'
'org.plugtree.training.jbpm.BaseTestHornetQ.startHornet','org.hornetq.core.config.impl.ConfigurationImpl.<init> org.hornetq.core.config.Configuration.setPersistenceEnabled org.hornetq.core.config.Configuration.setSecurityEnabled org.hornetq.core.remoting.impl.netty.NettyConnectorFactory.getName org.hornetq.api.core.TransportConfiguration.<init> org.hornetq.core.config.Configuration.getAcceptorConfigurations org.hornetq.core.remoting.impl.netty.NettyAcceptorFactory.getName org.hornetq.api.core.TransportConfiguration.<init> org.hornetq.core.server.HornetQServers.newHornetQServer org.hornetq.jms.server.config.impl.JMSConfigurationImpl.<init> org.hornetq.jms.server.config.JMSConfiguration.setContext org.hornetq.core.config.Configuration.getConnectorConfigurations org.hornetq.jms.server.config.impl.ConnectionFactoryConfigurationImpl.<init> org.hornetq.jms.server.config.JMSConfiguration.getConnectionFactoryConfigurations org.hornetq.jms.server.config.impl.JMSQueueConfigurationImpl.<init> org.hornetq.jms.server.config.impl.JMSQueueConfigurationImpl.<init> org.hornetq.jms.server.config.JMSConfiguration.getQueueConfigurations org.hornetq.jms.server.config.JMSConfiguration.getQueueConfigurations org.hornetq.jms.server.impl.JMSServerManagerImpl.<init> org.hornetq.jms.server.JMSServerManager.start'
'org.jboss.as.messaging.BridgeAdd.performRuntime','org.hornetq.core.server.HornetQServer.cast'
'org.jboss.as.messaging.BridgeAdd.addBridgeConfigs','org.hornetq.core.config.Configuration.getBridgeConfigurations'
'org.jboss.as.messaging.BridgeAdd.createBridgeConfiguration','org.hornetq.core.config.BridgeConfiguration.<init> org.hornetq.core.config.BridgeConfiguration.<init>'
'org.jboss.as.messaging.BridgeAdd.createBridge','org.hornetq.core.config.BridgeConfiguration.getDiscoveryGroupName org.hornetq.core.config.BridgeConfiguration.getQueueName org.hornetq.core.config.BridgeConfiguration.getForwardingAddress org.hornetq.core.config.BridgeConfiguration.getFilterString org.hornetq.core.config.BridgeConfiguration.getTransformerClassName org.hornetq.core.config.BridgeConfiguration.getRetryInterval org.hornetq.core.config.BridgeConfiguration.getRetryIntervalMultiplier org.hornetq.core.config.BridgeConfiguration.getReconnectAttempts org.hornetq.core.config.BridgeConfiguration.isUseDuplicateDetection org.hornetq.core.config.BridgeConfiguration.getConfirmationWindowSize org.hornetq.core.config.BridgeConfiguration.getClientFailureCheckPeriod org.hornetq.core.config.BridgeConfiguration.getDiscoveryGroupName org.hornetq.core.config.BridgeConfiguration.isHA org.hornetq.core.config.BridgeConfiguration.getUser org.hornetq.core.config.BridgeConfiguration.getPassword org.hornetq.api.core.management.HornetQServerControl.createBridge org.hornetq.core.config.BridgeConfiguration.getStaticConnectors org.hornetq.core.config.BridgeConfiguration.getQueueName org.hornetq.core.config.BridgeConfiguration.getForwardingAddress org.hornetq.core.config.BridgeConfiguration.getFilterString org.hornetq.core.config.BridgeConfiguration.getTransformerClassName org.hornetq.core.config.BridgeConfiguration.getRetryInterval org.hornetq.core.config.BridgeConfiguration.getRetryIntervalMultiplier org.hornetq.core.config.BridgeConfiguration.getReconnectAttempts org.hornetq.core.config.BridgeConfiguration.isUseDuplicateDetection org.hornetq.core.config.BridgeConfiguration.getConfirmationWindowSize org.hornetq.core.config.BridgeConfiguration.getClientFailureCheckPeriod org.hornetq.core.config.BridgeConfiguration.isHA org.hornetq.core.config.BridgeConfiguration.getUser org.hornetq.core.config.BridgeConfiguration.getPassword org.hornetq.api.core.management.HornetQServerControl.createBridge'
'org.jboss.as.messaging.BridgeControlHandler.getHornetQComponentControl','org.hornetq.core.server.HornetQServer.getManagementService org.hornetq.api.core.management.BridgeControl.cast'
'org.jboss.as.messaging.BridgeRemove.performRuntime','org.hornetq.core.server.HornetQServer.cast org.hornetq.core.server.HornetQServer.getHornetQServerControl'
'org.jboss.as.messaging.BridgeRemove.recoverServices','org.hornetq.core.server.HornetQServer.cast org.hornetq.core.server.HornetQServer.getHornetQServerControl'
'org.jboss.as.messaging.BroadcastGroupAdd.addBroadcastGroupConfigs','org.hornetq.core.config.Configuration.getBroadcastGroupConfigurations'
'org.jboss.as.messaging.BroadcastGroupAdd.createBroadcastGroupConfiguration','org.hornetq.api.core.BroadcastGroupConfiguration.<init> org.hornetq.api.core.BroadcastGroupConfiguration.getBroadcastPeriod org.hornetq.api.core.BroadcastGroupConfiguration.getConnectorInfos org.hornetq.api.core.UDPBroadcastGroupConfiguration.<init> org.hornetq.api.core.BroadcastGroupConfiguration.<init> org.hornetq.api.core.BroadcastGroupConfiguration.getBroadcastPeriod org.hornetq.api.core.BroadcastGroupConfiguration.getConnectorInfos org.hornetq.api.core.JGroupsBroadcastGroupConfiguration.<init> org.hornetq.api.core.BroadcastGroupConfiguration.<init>'
'org.jboss.as.messaging.BroadcastGroupControlHandler.getHornetQComponentControl','org.hornetq.core.server.HornetQServer.getManagementService org.hornetq.api.core.management.BroadcastGroupControl.cast'
'org.jboss.as.messaging.BroadcastGroupControlHandler.handleOperation','org.hornetq.api.core.management.BroadcastGroupControl.getConnectorPairsAsJSON'
'com.blogspot.diegopacheco.hornetq.client.Client.main','org.hornetq.api.jms.HornetQJMSClient.createQueue org.hornetq.integration.transports.netty.NettyConnectorFactory.getName org.hornetq.api.core.TransportConfiguration.<init> org.hornetq.api.jms.HornetQJMSClient.createConnectionFactory'
'org.jboss.as.messaging.ClusterConnectionAdd.addClusterConnectionConfigs','org.hornetq.core.config.Configuration.getClusterConfigurations'
'org.jboss.as.messaging.ClusterConnectionAdd.createClusterConnectionConfiguration','org.hornetq.core.config.ClusterConnectionConfiguration.<init> org.hornetq.core.config.ClusterConnectionConfiguration.<init>'
'org.jboss.as.messaging.ClusterConnectionControlHandler.getHornetQComponentControl','org.hornetq.core.server.HornetQServer.getManagementService org.hornetq.api.core.management.ClusterConnectionControl.cast'
'org.jboss.as.messaging.ClusterConnectionControlHandler.handleReadAttribute','org.hornetq.api.core.management.ClusterConnectionControl.getNodeID org.hornetq.api.core.management.ClusterConnectionControl.getTopology'
'org.jboss.as.messaging.ClusterConnectionControlHandler.handleOperation','org.hornetq.api.core.management.ClusterConnectionControl.getStaticConnectorsAsJSON org.hornetq.api.core.management.ClusterConnectionControl.getNodes'
'org.jboss.as.messaging.jms.ConnectionFactoryAdd.createConfiguration','org.hornetq.jms.server.config.impl.ConnectionFactoryConfigurationImpl.<init> org.hornetq.jms.server.config.ConnectionFactoryConfiguration.setHA org.hornetq.jms.server.config.ConnectionFactoryConfiguration.setAutoGroup org.hornetq.jms.server.config.ConnectionFactoryConfiguration.setBlockOnAcknowledge org.hornetq.jms.server.config.ConnectionFactoryConfiguration.setBlockOnDurableSend org.hornetq.jms.server.config.ConnectionFactoryConfiguration.setBlockOnNonDurableSend org.hornetq.jms.server.config.ConnectionFactoryConfiguration.setCacheLargeMessagesClient org.hornetq.jms.server.config.ConnectionFactoryConfiguration.setCallTimeout org.hornetq.jms.server.config.ConnectionFactoryConfiguration.setClientFailureCheckPeriod org.hornetq.jms.server.config.ConnectionFactoryConfiguration.setCallFailoverTimeout org.hornetq.jms.server.config.ConnectionFactoryConfiguration.setClientID org.hornetq.jms.server.config.ConnectionFactoryConfiguration.setCompressLargeMessages org.hornetq.jms.server.config.ConnectionFactoryConfiguration.setConfirmationWindowSize org.hornetq.jms.server.config.ConnectionFactoryConfiguration.setConnectionTTL org.hornetq.jms.server.config.ConnectionFactoryConfiguration.setConnectorNames org.hornetq.jms.server.config.ConnectionFactoryConfiguration.setConsumerMaxRate org.hornetq.jms.server.config.ConnectionFactoryConfiguration.setConsumerWindowSize org.hornetq.jms.server.config.ConnectionFactoryConfiguration.setDiscoveryGroupName org.hornetq.jms.server.config.ConnectionFactoryConfiguration.setDupsOKBatchSize org.hornetq.jms.server.config.ConnectionFactoryConfiguration.setFailoverOnInitialConnection org.hornetq.jms.server.config.ConnectionFactoryConfiguration.setGroupID org.hornetq.jms.server.config.ConnectionFactoryConfiguration.setLoadBalancingPolicyClassName org.hornetq.jms.server.config.ConnectionFactoryConfiguration.setMaxRetryInterval org.hornetq.jms.server.config.ConnectionFactoryConfiguration.setMinLargeMessageSize org.hornetq.jms.server.config.ConnectionFactoryConfiguration.setPreAcknowledge org.hornetq.jms.server.config.ConnectionFactoryConfiguration.setProducerMaxRate org.hornetq.jms.server.config.ConnectionFactoryConfiguration.setProducerWindowSize org.hornetq.jms.server.config.ConnectionFactoryConfiguration.setReconnectAttempts org.hornetq.jms.server.config.ConnectionFactoryConfiguration.setRetryInterval org.hornetq.jms.server.config.ConnectionFactoryConfiguration.setRetryIntervalMultiplier org.hornetq.jms.server.config.ConnectionFactoryConfiguration.setScheduledThreadPoolMaxSize org.hornetq.jms.server.config.ConnectionFactoryConfiguration.setThreadPoolMaxSize org.hornetq.jms.server.config.ConnectionFactoryConfiguration.setTransactionBatchSize org.hornetq.jms.server.config.ConnectionFactoryConfiguration.setUseGlobalPools org.hornetq.jms.server.config.ConnectionFactoryConfiguration.setLoadBalancingPolicyClassName org.hornetq.jms.server.config.ConnectionFactoryConfiguration.setFactoryType'
'org.jboss.as.messaging.jms.ConnectionFactoryAddJndiHandler.addJndiNameToControl','org.hornetq.core.server.HornetQServer.getManagementService org.hornetq.core.server.management.ManagementService.getResource org.hornetq.api.jms.management.ConnectionFactoryControl.cast org.hornetq.api.jms.management.ConnectionFactoryControl.addJNDI'
'org.jboss.as.messaging.jms.ConnectionFactoryReadAttributeHandler.executeRuntimeStep','org.hornetq.core.server.HornetQServer.cast org.hornetq.core.server.HornetQServer.getManagementService org.hornetq.api.jms.management.ConnectionFactoryControl.cast org.hornetq.api.jms.management.ConnectionFactoryControl.isHA org.hornetq.api.jms.management.ConnectionFactoryControl.getFactoryType org.hornetq.api.jms.management.ConnectionFactoryControl.getInitialMessagePacketSize'
