@relation spring-data-mongodb

@attribute fqCaller string
@attribute fqCalls string

@data
'org.springframework.integration.samples.mongodb.util.DemoUtils.prepareMongoFactory','org.springframework.data.mongodb.core.SimpleMongoDbFactory.<init> org.springframework.data.mongodb.core.MongoTemplate.<init> org.springframework.data.mongodb.core.MongoTemplate.dropCollection org.springframework.data.mongodb.core.MongoTemplate.dropCollection org.springframework.data.mongodb.core.MongoTemplate.dropCollection'
'com.github.dansmithy.sanjuan.model.update.GameUpdater.createMongoUpdate','org.springframework.data.mongodb.core.query.Update.<init> org.springframework.data.mongodb.core.query.Update.set'
'org.cloudfoundry.caldecott.client.HttpTunnelTest.testMongoDb','org.springframework.data.mongodb.core.SimpleMongoDbFactory.<init> org.springframework.data.mongodb.core.MongoTemplate.<init> org.springframework.data.mongodb.core.CollectionCallback<java.lang.Object>.<init> org.springframework.data.mongodb.core.MongoTemplate.execute org.springframework.data.mongodb.core.MongoTemplate.findAll'
'org.krams.service.InitMongoService.init','org.springframework.data.mongodb.core.MongoTemplate.dropCollection org.springframework.data.mongodb.core.MongoTemplate.dropCollection org.springframework.data.mongodb.core.MongoTemplate.insert org.springframework.data.mongodb.core.MongoTemplate.insert org.springframework.data.mongodb.core.MongoTemplate.insert org.springframework.data.mongodb.core.MongoTemplate.insert'
'com.bia.monitor.service.JobCheck.updateJobDownOnSiteUp','org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.query org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.MongoOperations.findOne org.springframework.data.mongodb.core.MongoOperations.save'
'com.bia.monitor.service.JobCheck.updateJobOnSiteUp','org.springframework.data.mongodb.core.MongoOperations.save'
'com.bia.monitor.service.JobCheck.updateJobOnSiteDown','org.springframework.data.mongodb.core.MongoOperations.save'
'com.bia.monitor.service.JobCheck.updateJobDownOnSiteDown','org.springframework.data.mongodb.core.MongoOperations.save'
'be.dhs.springmvc.MVCConfig.mongoDbFactory','org.springframework.data.mongodb.core.SimpleMongoDbFactory.<init>'
'be.dhs.springmvc.MVCConfig.mongoTemplate','org.springframework.data.mongodb.core.MongoTemplate.<init> org.springframework.data.mongodb.core.MongoTemplate.setWriteConcern'
'org.cloudfoundry.reconfiguration.data.document.MongoConfigurerTest.replacesUserDbFactory','org.springframework.data.mongodb.core.SimpleMongoDbFactory.<init>'
'org.springframework.social.connect.mongo.MongoConnectionService.getMaxRank','org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.query org.springframework.data.mongodb.core.query.Query.sort org.springframework.data.mongodb.core.MongoTemplate.findOne'
'org.springframework.social.connect.mongo.MongoConnectionService.create','org.springframework.data.mongodb.core.MongoTemplate.insert'
'org.springframework.social.connect.mongo.MongoConnectionService.update','org.springframework.data.mongodb.core.MongoTemplate.setWriteConcern org.springframework.data.mongodb.core.MongoTemplate.save org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.query org.springframework.data.mongodb.core.query.Update.update org.springframework.data.mongodb.core.MongoTemplate.findAndModify'
'org.springframework.social.connect.mongo.MongoConnectionService.remove','org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.query org.springframework.data.mongodb.core.MongoTemplate.remove org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.query org.springframework.data.mongodb.core.MongoTemplate.remove'
'org.springframework.social.connect.mongo.MongoConnectionService.getPrimaryConnection','org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.query org.springframework.data.mongodb.core.MongoTemplate.findOne'
'org.springframework.social.connect.mongo.MongoConnectionService.getConnection','org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.query org.springframework.data.mongodb.core.MongoTemplate.findOne'
'org.springframework.social.connect.mongo.MongoConnectionService.getConnections','org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.query org.springframework.data.mongodb.core.query.Query.sort org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.<init> org.springframework.data.mongodb.core.query.Query.sort org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Criteria.orOperator org.springframework.data.mongodb.core.query.Query.<init> org.springframework.data.mongodb.core.query.Query.sort'
'org.springframework.social.connect.mongo.MongoConnectionService.getUserIds','org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.query org.springframework.data.mongodb.core.query.Query.fields org.springframework.data.mongodb.core.MongoTemplate.find org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.query org.springframework.data.mongodb.core.query.Query.fields org.springframework.data.mongodb.core.MongoTemplate.find'
'org.springframework.social.connect.mongo.MongoConnectionService.runQuery','org.springframework.data.mongodb.core.MongoTemplate.find'
'org.springframework.social.connect.mongo.MongoConnectionServiceTests.setup','org.springframework.data.mongodb.core.MongoTemplate.insert'
'org.springframework.social.connect.mongo.MongoConnectionServiceTests.tearDown','org.springframework.data.mongodb.core.query.Query.<init> org.springframework.data.mongodb.core.MongoTemplate.remove'
'nl.enovation.addressbook.cqrs.webui.init.MongoController.collection','org.springframework.data.mongodb.core.MongoTemplate.getCollection'
'nl.enovation.addressbook.cqrs.webui.init.MongoController.collections','org.springframework.data.mongodb.core.MongoTemplate.getCollectionNames'
'mongodb.MongoDBGeoSpatialTest.setUp','org.springframework.data.mongodb.core.MongoTemplate.indexOps org.springframework.data.mongodb.core.index.GeospatialIndex.<init>'
'mongodb.MongoDBGeoSpatialTest.shouldFindSelf','org.springframework.data.mongodb.core.geo.Distance.<init>'
'mongodb.MongoDBGeoSpatialTest.shouldFindCologne','org.springframework.data.mongodb.core.geo.Distance.<init>'
'mongodb.MongoDBGeoSpatialTest.shouldFindCologneAndBerlin','org.springframework.data.mongodb.core.geo.Distance.<init>'
'mongodb.MongoDBGeoSpatialTest.shouldFindAroundOrigin','org.springframework.data.mongodb.core.geo.Circle.<init>'
'mongodb.MongoDBGeoSpatialTest.shouldFindWithinBox','org.springframework.data.mongodb.core.geo.Point.<init> org.springframework.data.mongodb.core.geo.Point.<init> org.springframework.data.mongodb.core.geo.Box.<init>'
'mongodb.MongoDBGridFSTest.shouldListExistingFiles','org.springframework.data.mongodb.gridfs.GridFsTemplate.find'
'mongodb.MongoDBGridFSTest.shouldDeleteAllFiles','org.springframework.data.mongodb.gridfs.GridFsTemplate.delete org.springframework.data.mongodb.gridfs.GridFsTemplate.find'
'mongodb.MongoDBGridFSTest.shouldStoreFile','org.springframework.data.mongodb.gridfs.GridFsTemplate.delete org.springframework.data.mongodb.gridfs.GridFsTemplate.store org.springframework.data.mongodb.gridfs.GridFsTemplate.find'
'mongodb.MongoDBMassTest.setUp','org.springframework.data.mongodb.core.MongoTemplate.indexOps org.springframework.data.mongodb.core.index.GeospatialIndex.<init>'
'mongodb.MongoDBMassTest.shouldPerformRandomQueries','org.springframework.data.mongodb.core.geo.Circle.<init> org.springframework.data.mongodb.core.geo.Point.<init> org.springframework.data.mongodb.core.geo.Point.<init> org.springframework.data.mongodb.core.geo.Box.<init>'
'org.grails.datastore.mapping.mongo.MongoDatastore.afterPropertiesSet','org.springframework.data.mongodb.core.MongoFactoryBean.<init> org.springframework.data.mongodb.core.MongoFactoryBean.setHost org.springframework.data.mongodb.core.MongoFactoryBean.setPort org.springframework.data.mongodb.core.MongoFactoryBean.setMongoOptions org.springframework.data.mongodb.core.MongoFactoryBean.afterPropertiesSet org.springframework.data.mongodb.core.MongoFactoryBean.getObject'
'org.grails.datastore.mapping.mongo.MongoDatastore.createMongoTemplate','org.springframework.data.mongodb.core.SimpleMongoDbFactory.<init> org.springframework.data.mongodb.core.SimpleMongoDbFactory.<init> org.springframework.data.mongodb.core.MongoTemplate.<init> org.springframework.data.mongodb.core.DbCallback<java.lang.Object>.<init> org.springframework.data.mongodb.core.MongoTemplate.executeInSession'
'org.grails.datastore.mapping.mongo.MongoDatastore.initializeIndices','org.springframework.data.mongodb.core.DbCallback<java.lang.Object>.<init> org.springframework.data.mongodb.core.MongoTemplate.execute'
'org.springframework.integration.mongodb.rules.MongoDbAvailableTests.prepareMongoFactory','org.springframework.data.mongodb.core.SimpleMongoDbFactory.<init> org.springframework.data.mongodb.core.MongoTemplate.<init> org.springframework.data.mongodb.core.MongoTemplate.dropCollection org.springframework.data.mongodb.core.MongoTemplate.dropCollection org.springframework.data.mongodb.core.MongoTemplate.dropCollection'
'com.oreilly.springdata.mongodb.core.MongoDbCustomerRepository.findOne','org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.query org.springframework.data.mongodb.core.MongoOperations.findOne'
'com.oreilly.springdata.mongodb.core.MongoDbCustomerRepository.save','org.springframework.data.mongodb.core.MongoOperations.save'
'com.oreilly.springdata.mongodb.core.MongoDbCustomerRepository.findByEmailAddress','org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.query org.springframework.data.mongodb.core.MongoOperations.findOne'
'org.springframework.integration.mongodb.config.MongoDbInboundChannelAdapterIntegrationTests.testWithDefaultMongoFactory','org.springframework.data.mongodb.core.MongoTemplate.<init> org.springframework.data.mongodb.core.MongoTemplate.save'
'org.springframework.integration.mongodb.config.MongoDbInboundChannelAdapterIntegrationTests.testWithNamedMongoFactory','org.springframework.data.mongodb.core.MongoTemplate.<init> org.springframework.data.mongodb.core.MongoTemplate.save'
'org.springframework.integration.mongodb.config.MongoDbInboundChannelAdapterIntegrationTests.testWithMongoTemplate','org.springframework.data.mongodb.core.MongoTemplate.<init> org.springframework.data.mongodb.core.MongoTemplate.save'
'org.springframework.integration.mongodb.config.MongoDbInboundChannelAdapterIntegrationTests.testWithNamedCollection','org.springframework.data.mongodb.core.MongoTemplate.<init> org.springframework.data.mongodb.core.MongoTemplate.save'
'org.springframework.integration.mongodb.config.MongoDbInboundChannelAdapterIntegrationTests.testWithNamedCollectionExpression','org.springframework.data.mongodb.core.MongoTemplate.<init> org.springframework.data.mongodb.core.MongoTemplate.save'
'org.springframework.integration.mongodb.config.MongoDbInboundChannelAdapterIntegrationTests.testWithOnSuccessDisposition','org.springframework.data.mongodb.core.MongoTemplate.<init> org.springframework.data.mongodb.core.MongoTemplate.save'
'org.springframework.integration.mongodb.config.MongoDbInboundChannelAdapterIntegrationTests.testWithMongoConverter','org.springframework.data.mongodb.core.MongoTemplate.<init> org.springframework.data.mongodb.core.MongoTemplate.save'
'org.springframework.integration.mongodb.config.MongoDbInboundChannelAdapterIntegrationTests.DocumentCleaner.remove','org.springframework.data.mongodb.core.query.BasicQuery.<init> org.springframework.data.mongodb.core.MongoOperations.remove'
'org.springframework.integration.mongodb.inbound.MongoDbMessageSource.onInit','org.springframework.data.mongodb.core.MongoTemplate.<init>'
'org.springframework.integration.mongodb.inbound.MongoDbMessageSource.receive','org.springframework.data.mongodb.core.query.BasicQuery.<init> org.springframework.data.mongodb.core.MongoOperations.findOne org.springframework.data.mongodb.core.MongoOperations.find'
'org.springframework.integration.mongodb.inbound.MongoDbMessageSourceTests.validateSuccessfullQueryWithSinigleElementIfOneInListAsDbObject','org.springframework.data.mongodb.core.MongoTemplate.<init> org.springframework.data.mongodb.core.MongoTemplate.save'
'org.springframework.integration.mongodb.inbound.MongoDbMessageSourceTests.validateSuccessfullQueryWithSinigleElementIfOneInList','org.springframework.data.mongodb.core.MongoTemplate.<init> org.springframework.data.mongodb.core.MongoTemplate.save'
'org.springframework.integration.mongodb.inbound.MongoDbMessageSourceTests.validateSuccessfullQueryWithSinigleElementIfOneInListAndSingleResult','org.springframework.data.mongodb.core.MongoTemplate.<init> org.springframework.data.mongodb.core.MongoTemplate.save'
'org.springframework.integration.mongodb.inbound.MongoDbMessageSourceTests.validateSuccessfullSubObjectQueryWithSinigleElementIfOneInList','org.springframework.data.mongodb.core.MongoTemplate.<init> org.springframework.data.mongodb.core.MongoTemplate.save'
'org.springframework.integration.mongodb.inbound.MongoDbMessageSourceTests.validateSuccessfullQueryWithMultipleElements','org.springframework.data.mongodb.core.MongoTemplate.<init> org.springframework.data.mongodb.core.MongoTemplate.save org.springframework.data.mongodb.core.MongoTemplate.save org.springframework.data.mongodb.core.MongoTemplate.save'
'org.springframework.integration.mongodb.inbound.MongoDbMessageSourceTests.validateSuccessfullQueryWithNullReturn','org.springframework.data.mongodb.core.MongoTemplate.<init> org.springframework.data.mongodb.core.MongoTemplate.save org.springframework.data.mongodb.core.MongoTemplate.save org.springframework.data.mongodb.core.MongoTemplate.save'
'org.springframework.integration.mongodb.inbound.MongoDbMessageSourceTests.validateSuccessfullQueryWithCustomConverter','org.springframework.data.mongodb.core.MongoTemplate.<init> org.springframework.data.mongodb.core.MongoTemplate.save org.springframework.data.mongodb.core.MongoTemplate.save org.springframework.data.mongodb.core.MongoTemplate.save org.springframework.data.mongodb.core.mapping.MongoMappingContext.<init> org.springframework.data.mongodb.core.convert.MappingMongoConverter.afterPropertiesSet'
'org.springframework.integration.mongodb.inbound.MongoDbMessageSourceTests.validateSuccessfullQueryWithMongoTemplate','org.springframework.data.mongodb.core.mapping.MongoMappingContext.<init> org.springframework.data.mongodb.core.convert.MappingMongoConverter.afterPropertiesSet org.springframework.data.mongodb.core.MongoTemplate.<init> org.springframework.data.mongodb.core.MongoTemplate.<init> org.springframework.data.mongodb.core.MongoTemplate.save org.springframework.data.mongodb.core.MongoTemplate.save org.springframework.data.mongodb.core.MongoTemplate.save'
'org.springframework.integration.mongodb.inbound.MongoDbMessageSourceTests.validatePipelineInModifyOut','org.springframework.data.mongodb.core.MongoTemplate.<init> org.springframework.data.mongodb.core.MongoTemplate.save org.springframework.data.mongodb.core.MongoTemplate.save'
'org.springframework.integration.mongodb.store.MongoDbMessageStore.MongoDbMessageStore','org.springframework.data.mongodb.core.mapping.MongoMappingContext.<init> org.springframework.data.mongodb.core.MongoTemplate.<init>'
'org.springframework.integration.mongodb.store.MongoDbMessageStore.addMessage','org.springframework.data.mongodb.core.MongoTemplate.insert'
'org.springframework.integration.mongodb.store.MongoDbMessageStore.getMessage','org.springframework.data.mongodb.core.MongoTemplate.findOne'
'org.springframework.integration.mongodb.store.MongoDbMessageStore.getMessageCount','org.springframework.data.mongodb.core.MongoTemplate.getCollection'
'org.springframework.integration.mongodb.store.MongoDbMessageStore.removeMessage','org.springframework.data.mongodb.core.MongoTemplate.findAndRemove'
'org.springframework.integration.mongodb.store.MongoDbMessageStore.getMessageGroup','org.springframework.data.mongodb.core.MongoTemplate.find'
'org.springframework.integration.mongodb.store.MongoDbMessageStore.addMessageToGroup','org.springframework.data.mongodb.core.MongoTemplate.insert'
'org.springframework.integration.mongodb.store.MongoDbMessageStore.removeMessageGroup','org.springframework.data.mongodb.core.MongoTemplate.find'
'org.springframework.integration.mongodb.store.MongoDbMessageStore.iterator','org.springframework.data.mongodb.core.MongoTemplate.find'
'org.springframework.integration.mongodb.store.MongoDbMessageStore.completeGroup','org.springframework.data.mongodb.core.query.Update.update org.springframework.data.mongodb.core.MongoTemplate.updateFirst'
'org.springframework.integration.mongodb.store.MongoDbMessageStore.setLastReleasedSequenceNumberForGroup','org.springframework.data.mongodb.core.query.Update.update org.springframework.data.mongodb.core.MongoTemplate.updateFirst'
'org.springframework.integration.mongodb.store.MongoDbMessageStore.pollMessageFromGroup','org.springframework.data.mongodb.core.MongoTemplate.find'
'org.springframework.integration.mongodb.store.MongoDbMessageStore.messageGroupSize','org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.<init> org.springframework.data.mongodb.core.MongoTemplate.count'
'org.springframework.integration.mongodb.store.MongoDbMessageStore.whereMessageIdIs','org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.<init>'
'org.springframework.integration.mongodb.store.MongoDbMessageStore.whereGroupIdIs','org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.<init> org.springframework.data.mongodb.core.query.Query.sort'
'org.springframework.integration.mongodb.store.MongoDbMessageStore.whereGroupIdExists','org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.<init>'
'org.springframework.integration.mongodb.store.MongoDbMessageStore.whereGroupIdIsOrdered','org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.<init> org.springframework.data.mongodb.core.query.Query.limit org.springframework.data.mongodb.core.query.Query.sort'
'org.springframework.integration.mongodb.store.MongoDbMessageStore.updateGroup','org.springframework.data.mongodb.core.query.Update.update org.springframework.data.mongodb.core.MongoTemplate.updateFirst'
'org.springframework.integration.mongodb.store.MongoDbMessageStore.MessageReadingMongoConverter.afterPropertiesSet','org.springframework.data.mongodb.core.convert.CustomConversions.<init>'
